index,k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales,k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales,k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales,k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales,k__Bacteria;__;__;__,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales],k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales,k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales,k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__MLE1-12,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Methylophilales,k__Bacteria;p__OD1;c__ABY1;o__,k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales,k__Bacteria;p__OD1;c__ZB2;o__,k__Bacteria;p__TM7;c__TM7-3;o__EW055,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Spirobacillales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales,Unassigned;__;__;__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales,k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales,k__Bacteria;p__[Thermi];c__Deinococci;o__Deinococcales,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__JG30-KF-AS9,k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta,k__Bacteria;p__TM7;c__TM7-3;o__CW040,k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Pirellulales,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__BD7-3,k__Bacteria;p__WPS-2;c__;o__,k__Bacteria;p__Acidobacteria;c__DA052;o__Ellin6513,k__Bacteria;p__GN02;c__GKS2-174;o__,k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__SC-I-84,k__Bacteria;p__Nitrospirae;c__Nitrospira;o__Nitrospirales,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales,k__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales,k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales,k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__Ellin5290,k__Bacteria;p__Gemmatimonadetes;c__Gemm-1;o__,k__Bacteria;p__;c__;o__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6;o__iii1-15,k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria];o__[Chthoniobacterales],k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes;o__,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Ellin6067,k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales,k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__WD2101,k__Bacteria;p__AD3;c__JG37-AG-4;o__,k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__,group,diet born,weaned to,swap
CR_RNN1,14379,748,43711,29,545,508,90,585,483,1381,900,0,36,91,0,113,142,83,70,23,0,71,54,0,0,169,11,12,0,24,0,0,21,0,19,0,0,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,RNN,CON,NFF,CON-NFF
CR_RNN2,22207,5701,14555,221,12322,2654,2689,133,19,12,193,26,35,23,0,42,83,62,148,31,56,0,13,0,5,28,46,8,4,0,0,22,7,0,0,9,0,0,0,0,3,0,0,0,8,0,7,6,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,RNN,CON,NFF,CON-NFF
CR_RNN3,12036,10936,31423,55,8764,433,486,441,1935,827,249,184,183,121,0,18,135,45,86,10,11,30,21,0,10,38,0,14,14,0,0,0,0,2,0,19,0,0,6,0,0,0,0,9,0,4,6,0,1,0,0,0,0,0,0,0,0,0,4,0,2,2,2,2,0,0,0,1,0,RNN,CON,NFF,CON-NFF
CR_RNN4,8947,4275,39958,321,4282,2401,3797,253,254,170,265,44,59,8,3,16,48,36,54,0,36,17,15,0,9,22,0,3,0,0,0,0,3,0,4,0,0,17,0,0,0,0,0,0,0,4,0,0,0,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,RNN,CON,NFF,CON-NFF
CR_RNN5,37576,3362,11908,8839,569,632,88,217,135,43,229,1145,38,44,0,18,81,45,5,25,49,5,3,71,0,44,2,6,0,10,31,0,0,0,8,0,0,0,0,0,8,0,3,0,0,0,0,6,6,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,RNN,CON,NFF,CON-NFF
CR_RNN6,39783,682,11980,9852,76,2206,28,1544,14,10,399,50,95,124,0,58,110,37,200,26,39,62,11,0,6,53,0,0,0,0,0,0,22,26,0,0,4,0,0,0,0,2,12,0,0,0,0,0,0,0,0,2,2,5,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,RNN,CON,NFF,CON-NFF
CR_RNN7,20489,4859,15046,17744,207,1208,53,101,110,29,228,119,339,42,2,18,16,47,76,10,18,16,0,0,22,32,0,0,0,0,5,0,0,9,0,0,0,0,0,15,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,RNN,CON,NFF,CON-NFF
CR_RNN8,9477,45045,8396,1916,56,919,0,398,95,10,172,16,208,17,225,21,230,52,170,6,6,37,6,0,0,0,0,0,14,0,0,0,2,14,0,0,4,0,16,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,RNN,CON,NFF,CON-NFF
CR_RRR3,52737,4408,8678,0,109,919,0,150,311,9,380,6,59,17,0,6,7,25,32,8,0,4,3,0,17,0,0,0,0,0,0,0,2,7,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,CR_RRR,CON,CON,none CON
CR_RRR4,44105,1566,606,2,12,1295,0,46,0,12,407,3,5,0,0,0,0,29,5,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,0,0,7,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,CR_RRR,CON,CON,none CON
CR_RRR5,43196,3369,1146,7,8,1381,0,87,0,4,236,0,78,0,0,0,0,12,4,0,0,0,0,0,3,4,0,0,0,0,0,0,12,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,CR_RRR,CON,CON,none CON
CR_RRR6,39769,5327,1201,3,0,869,0,28,17,8,498,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,CR_RRR,CON,CON,none CON
CR_RRR7,29423,10012,5596,7,0,1976,0,11,5,0,113,0,30,0,0,0,0,11,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CR_RRR,CON,CON,none CON
CR_RRR8,32377,6390,1760,0,0,544,0,34,0,0,141,0,55,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CR_RRR,CON,CON,none CON
